keypoint_th,min_abs_match,match_ratio_th,precision,recall,balanced,FN,FP,TN,TP
0.037,21,0.0,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.0033444816053511705,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.006688963210702341,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.010033444816053512,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.013377926421404682,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.016722408026755852,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.020066889632107024,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.023411371237458192,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.026755852842809364,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.030100334448160536,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.033444816053511704,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.03678929765886287,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.04013377926421405,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.043478260869565216,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.046822742474916385,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.05016722408026756,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.05351170568561873,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.056856187290969896,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.06020066889632107,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.06354515050167224,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.06688963210702341,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.07023411371237458,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.07357859531772575,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.07692307692307693,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.0802675585284281,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.08361204013377926,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.08695652173913043,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.0903010033444816,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.09364548494983277,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.09698996655518395,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.10033444816053512,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.10367892976588629,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.10702341137123746,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.11036789297658862,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.11371237458193979,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.11705685618729096,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.12040133779264214,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.12374581939799331,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.12709030100334448,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.13043478260869565,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.13377926421404682,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.13712374581939799,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.14046822742474915,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.14381270903010032,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.1471571906354515,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.1505016722408027,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.15384615384615385,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.15719063545150502,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.1605351170568562,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.16387959866220736,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.16722408026755853,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.1705685618729097,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.17391304347826086,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.17725752508361203,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.1806020066889632,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.18394648829431437,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.18729096989966554,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.1906354515050167,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.1939799331103679,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.19732441471571907,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.20066889632107024,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
